# Int	Sequence
0	0.201202020
1	0.201102020
2	0.202102020
3	0.202002020
4	0.202012020
5	0.202011020
6	0.202021020
7	0.202020020
8	0.202020120
9	0.202020110
10	0.202020210
11	0.202020200
12	0.202020201
13	0.102020201
14	0.102020202
15	0.002020202
16	0.012020202
17	0.011020202
18	0.021020202
19	0.020020202
20	0.020120202
21	0.020110202
22	0.020210202
23	0.020200202
24	0.020201202
25	0.020201102
26	0.020202102
27	0.020202002
28	0.020202012
29	0.020202011
30	0.020202021
31	1.120202021
32	1.120202020
33	1.110202020
34	1.210202020
35	1.200202020
36	1.201202020
37	1.201102020
38	1.202102020
39	1.202002020
40	1.202012020
41	1.020202021
42	1.202011020
43	1.202021020
44	1.202020020
45	1.202020120
46	1.202020110
47	1.202020210
48	1.202020200
49	1.202020201
50	1.102020201
51	1.102020202
52	1.002020202
53	1.012020202
54	1.011020202
55	1.021020202
56	1.020020202
57	1.020120202
58	1.020110202
59	1.020210202
60	1.020200202
61	1.020201202
62	1.020201102
63	1.020202102
64	1.020202002
65	1.020202012
66	1.020202011
67	2.120202021
68	2.120202020
69	2.110202020
70	2.210202020
71	2.200202020
72	2.201202020
73	2.201102020
74	2.202102020
75	2.202002020
76	2.020202021
77	2.202012020
78	2.202011020
79	2.202021020
80	2.202020020
81	2.202020120
82	2.202020110
83	2.202020210
84	2.202020200
85	2.202020201
86	2.102020201
87	2.102020202
88	2.002020202
89	2.012020202
90	2.011020202
91	2.021020202
92	2.020020202
93	2.020120202
94	2.020110202
95	2.020210202
96	2.020200202
97	2.020201202
98	2.020201102
99	2.020202102
100	2.020202002
101	2.020202012
102	2.020202011
103	3.120202021
104	3.120202020
105	3.110202020
106	3.210202020
107	3.200202020
108	3.201202020
109	3.201102020
110	3.020202021
111	3.202102020
112	3.202002020
113	3.202012020
114	3.202011020
115	3.202021020
116	3.202020020
117	3.202020120
118	3.202020110
119	3.202020210
120	3.202020200
121	3.202020201
122	3.102020201
123	3.102020202
124	3.002020202
125	3.012020202
126	3.011020202
127	3.021020202
128	3.020020202
129	3.020120202
130	3.020110202
131	3.020210202
132	3.020200202
133	3.020201202
134	3.020201102
135	3.020202102
136	3.020202002
137	3.020202012
138	3.020202011
139	4.020202021
140	4.120202020
141	4.120202021
142	4.020202020
143	4.020202022
